centre_id,crop_type,quantity,farmers_ahead,current_queue_length,active_counters,staff_count,staff_availability,average_processing_time,current_processing_speed,time_of_day,day_of_week,seasonal_flag,no_show_rate,queue_growth_rate,equipment_status,operational_delay_flag,actual_wait_minutes,is_synthetic
6,Maize,41.4,4,10,1,2,0.72,16.4,1.04,10,1,1,0.13,0.98,1,0,58.9,True
4,Wheat,51.2,4,12,3,3,0.81,11.2,1.16,10,5,1,0.07,0.48,1,0,13.7,True
4,Maize,52.4,22,29,3,5,0.93,17.4,0.95,14,5,1,0.17,0.55,1,0,135.8,True
5,Mustard,8.7,10,10,3,3,0.8,16.1,0.8,11,2,1,0.07,0.2,0,1,94.2,True
3,Cotton,50.6,19,22,3,4,0.93,12.0,0.87,10,0,1,0.19,1.01,1,0,84.0,True
8,Maize,9.7,26,35,3,5,0.88,12.9,0.86,10,4,1,0.12,0.99,1,0,128.6,True
4,Paddy,44.2,19,20,1,1,0.78,15.8,1.01,10,4,1,0.19,1.42,1,0,295.5,True
9,Paddy,42.8,15,17,3,3,0.94,10.8,1.03,16,3,0,0.16,1.1,0,1,77.7,True
8,Cotton,36.2,14,14,2,4,0.74,13.8,1.11,8,1,0,0.11,1.0,1,0,95.3,True
1,Paddy,29.6,24,25,2,4,0.95,19.0,1.16,14,6,1,0.19,0.38,0,1,225.8,True
9,Wheat,49.9,16,19,2,3,0.88,12.5,0.97,14,3,1,0.07,1.07,1,0,99.0,True
2,Paddy,21.6,4,4,4,4,0.81,19.9,0.93,8,4,0,0.19,0.28,0,1,44.5,True
9,Cotton,26.7,23,26,4,6,0.73,18.9,1.06,13,2,0,0.09,-0.39,0,1,132.0,True
3,Paddy,48.9,30,38,2,4,0.91,12.8,1.02,12,1,0,0.06,0.61,0,1,211.4,True
5,Paddy,53.0,28,30,3,5,0.91,19.5,0.86,16,6,0,0.06,0.48,1,0,210.4,True
7,Mustard,46.3,28,32,2,2,0.83,19.9,0.97,13,2,0,0.06,-0.21,1,0,285.1,True
9,Paddy,34.1,3,13,2,2,0.84,13.9,1.06,8,0,0,0.07,0.6,1,0,17.7,True
5,Maize,50.7,6,16,4,6,0.71,11.5,0.89,15,3,1,0.19,0.49,1,0,22.5,True
4,Cotton,12.1,16,24,3,5,0.88,10.1,1.14,10,3,1,0.07,0.77,1,0,49.2,True
9,Maize,5.9,11,19,1,1,0.88,17.3,1.17,11,6,1,0.14,0.57,1,0,160.7,True
3,Wheat,32.2,25,35,1,3,0.97,16.8,1.13,10,4,1,0.08,1.4,1,0,370.8,True
1,Cotton,6.7,29,32,4,6,0.7,18.8,0.94,12,6,0,0.16,0.51,0,1,170.2,True
3,Cotton,8.4,27,35,1,1,0.92,19.7,1.18,11,2,1,0.19,0.54,1,0,452.5,True
6,Mustard,39.2,20,21,1,3,0.72,12.1,0.9,13,4,0,0.18,1.39,0,1,292.6,True
9,Paddy,59.8,3,12,2,4,0.87,14.8,1.17,15,2,1,0.11,1.5,1,0,20.3,True
5,Wheat,27.5,14,24,3,3,0.87,11.3,1.11,10,6,1,0.11,1.45,1,0,48.5,True
9,Mustard,34.7,8,16,4,6,0.91,13.1,0.87,16,6,0,0.09,1.48,1,0,34.2,True
8,Paddy,49.8,16,22,3,3,0.79,16.8,1.16,17,3,0,0.17,1.42,0,1,100.6,True
10,Wheat,59.2,5,15,3,4,0.92,16.4,1.16,14,2,1,0.2,0.64,1,0,22.1,True
6,Cotton,21.2,23,28,1,3,0.75,18.2,0.95,12,3,0,0.19,0.56,1,0,443.2,True
10,Mustard,22.9,7,9,4,4,0.72,17.7,0.91,16,6,0,0.15,0.14,1,0,37.8,True
6,Maize,37.0,24,27,2,2,0.93,19.1,0.86,13,3,0,0.13,0.82,1,0,261.1,True
7,Maize,48.7,29,29,3,5,0.94,16.1,1.18,8,5,0,0.1,-0.39,0,1,155.2,True
8,Mustard,10.2,8,10,3,5,0.83,12.0,1.0,16,6,0,0.13,1.27,1,0,34.5,True
2,Paddy,54.2,1,7,2,3,0.78,17.2,0.92,10,3,1,0.17,-0.38,1,0,10.5,True
10,Mustard,44.4,4,10,4,5,0.81,18.8,0.81,13,6,0,0.19,0.77,1,0,26.1,True
6,Maize,56.4,15,19,2,3,0.88,13.1,0.9,17,0,0,0.15,-0.09,0,1,133.3,True
4,Paddy,27.1,15,19,2,2,0.96,11.9,0.82,17,0,0,0.19,-0.33,1,0,108.6,True
10,Paddy,6.4,1,8,4,6,0.93,13.8,1.15,11,2,1,0.16,1.34,1,0,6.1,True
10,Mustard,21.1,20,25,1,1,0.95,10.3,1.17,14,1,1,0.1,-0.41,1,0,181.0,True
7,Maize,55.9,3,4,4,4,0.82,18.7,1.11,8,6,0,0.1,0.71,1,0,12.0,True
1,Paddy,46.4,25,30,3,5,0.85,15.7,1.13,14,1,1,0.17,0.32,1,0,113.0,True
5,Cotton,49.4,25,25,2,4,0.86,17.0,1.18,10,3,1,0.11,0.1,1,0,176.1,True
8,Wheat,44.0,19,22,1,1,0.99,14.6,0.9,13,5,0,0.17,-0.14,1,0,302.9,True
3,Maize,43.5,17,27,4,4,0.96,14.1,1.14,11,3,1,0.06,1.18,1,0,48.5,True
7,Cotton,20.3,2,5,1,1,0.9,15.4,1.19,14,4,1,0.19,-0.41,1,0,29.2,True
1,Cotton,43.4,23,24,1,1,0.76,11.6,0.87,8,6,0,0.11,0.98,1,0,302.3,True
3,Wheat,14.3,26,29,3,4,0.88,15.1,1.17,11,5,1,0.11,-0.48,1,0,111.0,True
9,Mustard,24.8,21,26,4,4,0.95,17.1,1.18,16,4,0,0.16,1.49,1,0,73.3,True
9,Maize,32.0,14,22,1,1,0.8,14.0,1.05,8,3,0,0.12,-0.41,1,0,190.7,True
10,Paddy,47.7,20,27,2,4,0.83,15.5,0.87,8,1,0,0.14,1.09,1,0,175.9,True
6,Maize,44.4,11,16,4,6,0.82,15.8,0.95,13,1,0,0.1,-0.01,1,0,44.5,True
3,Cotton,41.4,23,26,2,2,0.93,12.7,1.17,14,0,1,0.18,1.13,0,1,149.2,True
1,Mustard,10.6,6,16,2,2,0.95,16.8,1.05,16,0,0,0.16,0.48,0,1,73.7,True
2,Cotton,45.6,19,21,4,4,0.86,15.3,1.08,15,2,1,0.11,0.36,1,0,64.4,True
9,Mustard,23.2,0,2,1,2,0.93,14.7,0.82,8,6,0,0.08,0.92,1,0,3.0,True
7,Paddy,47.3,10,19,1,2,0.77,11.7,1.14,17,2,0,0.18,0.44,1,0,102.5,True
5,Mustard,47.3,20,20,4,5,0.75,15.1,0.85,17,5,0,0.17,1.38,0,1,112.4,True
2,Mustard,17.8,2,3,1,3,0.91,12.4,1.0,15,0,1,0.09,-0.1,1,0,27.4,True
6,Cotton,27.4,4,4,4,4,0.77,10.3,1.02,11,5,1,0.16,0.26,1,0,10.8,True
3,Mustard,27.5,23,30,4,6,0.9,19.0,0.93,17,5,0,0.12,-0.42,0,1,139.1,True
1,Cotton,7.4,27,36,1,1,0.78,14.6,0.91,9,3,0,0.12,0.78,1,0,434.3,True
8,Mustard,46.8,6,16,3,4,0.98,17.5,1.11,16,3,0,0.07,0.04,1,0,31.9,True
6,Mustard,13.2,4,14,3,5,0.96,18.3,0.85,12,6,0,0.06,0.68,1,0,32.0,True
2,Wheat,27.8,27,30,2,2,0.81,11.5,1.06,17,6,0,0.11,1.19,0,1,174.0,True
1,Mustard,24.8,12,21,2,3,0.91,18.5,0.84,9,6,0,0.12,0.46,0,1,158.9,True
2,Cotton,45.4,20,24,2,4,0.82,12.6,1.16,13,0,0,0.09,0.63,0,1,131.8,True
3,Wheat,12.3,27,37,2,2,0.87,17.2,1.11,15,1,1,0.18,-0.12,1,0,211.1,True
10,Mustard,58.4,16,19,3,3,0.82,12.5,1.0,11,6,1,0.1,0.76,1,0,70.1,True
1,Wheat,50.8,27,37,3,3,0.88,15.0,1.15,15,6,1,0.07,1.41,1,0,113.9,True
10,Wheat,56.6,14,20,1,1,0.84,16.1,1.09,10,3,1,0.08,-0.09,0,1,232.6,True
1,Paddy,46.7,21,30,3,3,0.98,16.8,0.94,11,0,1,0.18,0.86,1,0,126.1,True
8,Maize,36.6,10,12,3,5,0.76,14.8,0.95,9,5,0,0.1,0.83,1,0,50.1,True
8,Paddy,8.4,19,22,1,3,0.76,10.0,0.85,17,5,0,0.14,0.12,0,1,249.7,True
5,Paddy,23.8,5,9,1,1,0.8,12.4,0.89,14,5,1,0.15,0.31,0,1,91.6,True
10,Wheat,23.2,11,17,1,1,0.78,11.4,0.8,12,0,0,0.12,-0.07,1,0,156.5,True
4,Wheat,40.4,26,34,2,2,0.9,15.8,1.07,15,5,1,0.17,0.58,1,0,191.0,True
5,Paddy,30.4,3,10,1,2,0.73,10.2,0.98,12,2,0,0.19,0.28,1,0,30.3,True
2,Mustard,27.5,16,17,4,4,0.75,15.6,1.19,15,2,1,0.12,-0.16,1,0,50.3,True
5,Wheat,13.2,28,28,1,3,0.89,19.6,0.88,10,6,1,0.11,1.18,0,1,652.9,True
2,Cotton,46.7,27,31,4,5,0.71,12.4,1.13,12,6,0,0.13,1.17,1,0,69.7,True
9,Wheat,51.9,15,21,4,5,0.91,17.3,0.84,14,5,1,0.18,0.24,1,0,83.3,True
3,Maize,5.6,29,39,1,2,0.79,15.6,0.8,15,4,1,0.06,-0.13,1,0,564.9,True
5,Maize,51.9,3,3,3,5,0.82,10.5,0.84,10,5,1,0.07,1.49,1,0,11.2,True
10,Mustard,38.9,21,22,1,1,0.8,10.0,1.15,10,4,1,0.14,1.34,1,0,183.3,True
9,Mustard,58.3,0,5,2,2,0.93,13.5,1.04,12,5,0,0.11,-0.11,1,0,3.0,True
3,Cotton,30.9,18,21,2,2,0.8,19.6,0.92,13,2,0,0.15,0.73,1,0,189.8,True
9,Cotton,44.8,1,6,2,3,0.93,13.2,0.84,12,2,0,0.09,0.93,1,0,5.9,True
1,Cotton,57.4,5,6,1,1,0.84,19.3,1.1,17,6,0,0.09,-0.46,1,0,86.8,True
6,Cotton,14.3,2,9,1,3,0.7,11.7,1.03,8,3,0,0.15,1.21,0,1,53.1,True
7,Wheat,41.4,10,16,2,3,0.72,10.6,1.08,12,6,0,0.15,0.43,1,0,49.8,True
9,Paddy,5.2,24,31,1,3,0.71,10.7,0.98,16,4,0,0.09,1.46,1,0,259.7,True
4,Mustard,55.9,14,21,4,5,0.94,15.0,1.1,16,2,0,0.18,0.57,1,0,48.6,True
8,Maize,39.7,14,16,4,6,0.87,15.4,0.95,16,4,0,0.09,0.37,0,1,83.9,True
7,Maize,35.1,14,18,2,3,0.7,19.4,0.83,12,3,0,0.2,0.02,1,0,161.8,True
5,Cotton,12.5,4,14,1,3,0.99,18.8,1.12,8,2,0,0.13,0.06,1,0,63.3,True
10,Cotton,40.0,18,22,4,6,0.82,10.7,1.19,9,0,0,0.18,1.03,0,1,63.4,True
10,Maize,14.0,19,27,1,3,0.75,17.4,1.07,16,5,0,0.1,1.47,1,0,307.5,True
7,Maize,17.1,2,7,3,4,0.84,12.8,0.86,11,0,1,0.15,1.43,1,0,12.7,True
7,Wheat,21.9,24,30,3,4,0.72,11.4,0.84,12,1,0,0.06,-0.2,0,1,136.9,True
1,Wheat,50.7,25,34,4,4,0.76,19.8,1.02,11,0,1,0.18,1.31,1,0,122.4,True
3,Cotton,20.2,27,31,1,2,1.0,19.2,1.17,11,5,1,0.16,-0.26,0,1,465.3,True
7,Paddy,53.6,2,7,1,2,0.88,13.1,0.9,13,2,0,0.05,-0.17,1,0,27.5,True
7,Maize,36.5,10,11,2,2,0.9,17.0,1.0,12,5,0,0.2,-0.28,1,0,81.7,True
6,Maize,26.9,12,18,2,4,0.75,16.4,1.05,9,6,0,0.08,-0.49,1,0,91.2,True
8,Cotton,41.4,4,10,3,4,0.89,17.9,1.12,9,0,0,0.09,1.31,1,0,20.6,True
1,Cotton,54.2,24,33,4,6,0.73,15.3,0.98,16,5,0,0.12,1.36,1,0,92.8,True
9,Paddy,19.9,26,32,4,6,0.87,10.4,0.83,13,2,0,0.19,0.52,1,0,82.5,True
3,Cotton,40.6,17,23,4,5,0.98,16.9,1.16,13,0,0,0.2,0.41,1,0,62.7,True
5,Wheat,18.6,6,7,3,4,0.78,14.1,1.19,10,1,1,0.12,0.18,1,0,19.1,True
7,Paddy,49.2,29,36,1,1,0.85,19.6,0.85,16,4,0,0.11,-0.06,1,0,672.5,True
7,Cotton,14.9,29,38,1,2,0.74,11.0,0.97,15,4,1,0.17,-0.43,0,1,355.6,True
5,Cotton,18.9,8,16,4,6,0.86,16.0,0.86,17,6,0,0.11,0.76,1,0,39.5,True
3,Paddy,34.7,17,17,4,5,0.84,16.8,0.98,16,3,0,0.15,0.75,1,0,68.7,True
4,Cotton,40.0,0,8,3,3,0.96,15.9,0.95,9,3,0,0.1,-0.44,1,0,3.0,True
5,Wheat,27.9,27,27,1,1,0.89,14.3,0.91,9,4,0,0.12,1.29,0,1,448.5,True
2,Cotton,39.1,19,23,1,1,0.88,10.5,0.89,10,0,1,0.1,-0.38,1,0,224.2,True
5,Wheat,29.3,19,23,3,3,0.89,17.8,1.18,13,1,0,0.08,0.1,0,1,124.0,True
7,Wheat,9.1,5,15,3,3,0.94,13.7,0.85,11,4,1,0.12,-0.47,1,0,28.4,True
1,Wheat,36.2,15,23,1,1,0.74,11.1,0.82,11,3,1,0.17,0.85,0,1,226.4,True
10,Cotton,55.3,26,32,2,4,0.97,15.3,1.08,14,6,1,0.07,0.19,1,0,185.4,True
3,Cotton,45.8,17,19,3,4,0.91,15.6,1.17,9,3,0,0.18,-0.48,1,0,71.7,True
1,Wheat,58.4,10,12,2,4,0.78,13.7,1.1,8,1,0,0.11,-0.34,1,0,64.2,True
8,Cotton,43.0,19,20,2,2,0.7,11.8,0.95,13,0,0,0.15,0.62,1,0,122.4,True
10,Mustard,38.5,6,14,1,2,1.0,12.4,1.01,9,2,0,0.06,0.94,1,0,74.9,True
6,Mustard,48.1,5,7,1,3,0.84,18.8,0.81,15,2,1,0.18,-0.19,1,0,122.4,True
8,Cotton,59.6,1,8,2,2,0.95,15.0,0.88,12,0,0,0.1,0.76,1,0,7.1,True
5,Paddy,5.5,5,8,2,3,0.91,18.7,1.05,14,0,1,0.1,-0.49,1,0,41.4,True
7,Wheat,59.1,3,5,1,1,1.0,10.3,1.04,16,0,0,0.18,0.23,1,0,29.1,True
7,Maize,56.3,20,20,2,3,0.95,16.0,1.17,15,3,1,0.06,0.76,0,1,159.6,True
5,Paddy,59.6,5,8,4,6,0.89,10.1,1.01,14,3,1,0.13,0.96,1,0,10.1,True
3,Maize,31.7,12,16,1,2,0.87,13.4,0.81,17,2,0,0.12,1.22,1,0,199.9,True
1,Mustard,58.8,29,39,4,4,0.73,13.8,1.0,14,4,1,0.17,-0.07,1,0,103.9,True
3,Mustard,51.0,11,18,3,3,0.85,14.3,0.85,16,0,0,0.11,0.07,1,0,60.9,True
1,Cotton,27.4,28,28,1,2,0.85,11.7,0.82,16,3,0,0.11,-0.03,1,0,397.9,True
7,Mustard,39.3,3,8,1,1,0.95,19.0,0.81,8,4,0,0.16,-0.15,0,1,95.1,True
5,Mustard,41.4,8,17,1,1,0.75,16.2,0.81,11,3,1,0.18,1.09,1,0,160.5,True
6,Maize,38.7,22,26,3,5,0.73,17.6,0.97,9,6,0,0.18,1.22,1,0,131.7,True
7,Cotton,30.4,14,16,3,4,0.81,19.6,0.96,14,2,1,0.1,0.72,0,1,119.9,True
1,Maize,8.3,29,31,2,3,0.99,14.2,1.17,8,4,0,0.07,-0.09,1,0,178.4,True
1,Wheat,50.2,22,23,4,6,0.8,17.6,1.1,11,4,1,0.09,0.35,1,0,90.6,True
4,Mustard,15.7,1,3,1,1,0.73,12.5,1.2,9,0,0,0.19,1.4,0,1,32.3,True
2,Cotton,27.7,10,13,2,2,0.75,11.7,0.85,14,2,1,0.15,0.11,1,0,71.9,True
7,Maize,15.3,26,34,2,3,0.92,16.1,0.83,17,3,0,0.06,-0.08,1,0,245.8,True
1,Wheat,20.1,16,16,3,4,0.9,13.1,0.97,11,4,1,0.09,1.34,0,1,103.4,True
4,Maize,22.7,25,30,1,2,0.87,17.1,1.17,16,2,0,0.12,0.53,1,0,364.9,True
3,Mustard,52.6,2,9,3,4,0.9,15.3,1.1,15,5,1,0.05,0.54,1,0,8.8,True
9,Cotton,23.8,4,8,3,4,0.83,12.6,0.82,8,2,0,0.09,-0.01,1,0,18.5,True
1,Maize,34.1,18,18,3,4,0.95,13.5,0.96,10,2,1,0.15,1.43,0,1,108.0,True
7,Mustard,52.8,12,13,1,1,0.72,15.5,0.84,12,3,0,0.07,0.96,1,0,218.5,True
10,Mustard,49.0,30,33,2,4,0.74,17.0,1.02,15,2,1,0.1,0.53,1,0,250.1,True
10,Maize,33.3,9,12,2,3,0.97,11.0,1.02,10,3,1,0.16,0.16,1,0,50.3,True
9,Mustard,16.1,7,14,2,4,0.85,17.5,0.92,17,3,0,0.06,0.48,1,0,69.4,True
6,Mustard,43.6,15,17,4,6,0.92,18.4,1.05,10,6,1,0.18,0.19,1,0,60.3,True
1,Maize,23.5,23,31,4,4,0.85,11.6,0.97,15,3,1,0.13,1.39,1,0,67.0,True
1,Cotton,24.0,5,12,4,5,0.71,13.5,0.81,11,1,1,0.09,-0.26,0,1,42.1,True
9,Wheat,28.7,27,37,2,3,0.87,11.9,1.05,14,4,1,0.16,0.09,1,0,150.8,True
1,Wheat,34.4,16,16,2,3,1.0,17.6,0.88,17,1,0,0.19,0.11,1,0,161.4,True
2,Maize,18.1,18,18,4,5,0.92,11.1,0.98,11,2,1,0.05,-0.05,1,0,51.8,True
5,Wheat,25.8,4,9,3,5,0.96,15.3,1.13,10,1,1,0.12,0.4,0,1,37.3,True
5,Maize,58.4,27,32,4,5,0.92,19.9,0.95,15,4,1,0.07,-0.24,1,0,136.7,True
1,Wheat,45.8,15,17,1,1,0.83,15.9,0.88,13,6,0,0.07,0.93,0,1,300.8,True
2,Paddy,5.3,13,18,4,5,0.72,19.1,1.15,16,2,0,0.11,0.24,1,0,54.6,True
6,Wheat,60.0,9,15,3,4,0.74,12.1,1.14,10,5,1,0.13,0.28,1,0,35.5,True
5,Cotton,36.8,18,19,2,2,0.71,10.5,1.14,14,6,1,0.1,1.26,1,0,89.1,True
2,Paddy,52.1,8,16,1,3,0.79,15.5,0.94,15,6,1,0.1,1.46,0,1,161.6,True
